gene	chrom	start	end	assembly
CYP24A1	20	54153446	54173986	GRCh38
SLC34A1	5	177379235	177398848	GRCh38
SLC34A3	9	137230757	137236555	GRCh38
AGXT	2	240868543	240881531	GRCh38
GRHPR	9	37422660	37463037	GRCh38
HOGA1	10	97584323	97613829	GRCh38
CLDN16	3	190322522	190412460	GRCh38
CLDN19	1	42733093	42740286	GRCh38
SLC4A1	17	44248390	44268162	GRCh38
ATP6V0A4	7	138706289	138799672	GRCh38
ATP6V1B1	2	70935771	70965431	GRCh38
FOXI1	5	170105893	170109734	GRCh38
WDR72	15	53513741	53762878	GRCh38
CLCN5	X	49922549	50099235	GRCh38
OCRL	X	129539849	129592772	GRCh38
CLCNKB	1	16040252	16057367	GRCh38
BSND	1	54998906	55017172	GRCh38
SLC12A1	15	48178392	48304078	GRCh38
KCNJ1	11	128836315	128874671	GRCh38
MAGED2	X	54807572	54816015	GRCh38
ALPL	1	21508813	21579441	GRCh38
CASR	3	122183665	122291629	GRCh38
VDR	12	47841537	47943048	GRCh38
HNF1B	17	37686431	37745095	GRCh38
ADCY10	1	167809098	167914215	GRCh38
