gene	chrom	start	end	assembly
BUB1B	15	40160984	40221137	GRCh38
CEP57	11	95789965	95837070	GRCh38
CEP192	18	12991283	13125053	GRCh38
BUB1	2	110635468	110678098	GRCh38
BUB3	10	123154365	123313144	GRCh38
MAD1L1	7	1815787	2233243	GRCh38
MAD2L1	4	120055623	120067192	GRCh38
TTK	6	80003887	80043580	GRCh38
CDC20	1	43358907	43363212	GRCh38
CENPE	4	103105349	103198463	GRCh38
CENPF	1	214603172	214664574	GRCh38
KNL1	15	40594002	40664342	GRCh38
NDC80	18	2571520	2616635	GRCh38
ZW10	11	113729794	113773771	GRCh38
ZWILCH	15	66504959	66550130	GRCh38
KNTC1	12	122527246	122628182	GRCh38
AURKB	17	8204335	8210638	GRCh38
PLK1	16	23677656	23690372	GRCh38
ESPL1	12	53268248	53293643	GRCh38
PTTG1	5	160421801	160428748	GRCh38
SGO1	3	20155363	20186800	GRCh38
TP53	17	7661779	7687546	GRCh38
DICER1	14	95086228	95158010	GRCh38
RECQL4	8	144511284	144517890	GRCh38
BLM	15	90717340	90816166	GRCh38
NBN	8	89924515	90003228	GRCh38
LIG4	13	108207439	108218373	GRCh38
ATR	3	142449007	142578868	GRCh38
ATM	11	108222788	108369102	GRCh38
PCNT	21	46324082	46445769	GRCh38
TRIP13	5	892849	919357	GRCh38
CEP63	3	134485699	134587789	GRCh38
CEP152	15	48712928	48811146	GRCh38
MVP	16	29820394	29848039	GRCh38
